"ID_plot","Plant_SR","Plant_Cover","PlantHerb_SR","PlantHerb_Cover","PlantHerb_Shannon","Moss_SR","Moss_Cover","Legume_Cover","Legume_SR","Grass_Cover","Grass_SR","Forb_Cover","Forb_SR","TreeLegume_SR","TreeForb_SR","Phanerophyte_Cover","Phanerophyte_SR","Nanophanerophyte_Cover","Nanophanerophyte_SR","Cryptophyte_Cover","Cryptophyte_SR","Therophyte_Cover","Therophyte_SR","Chamaephyte_Cover","Chamaephyte_SR","Indigenous_Cover","Indigenous_SR","IndigenousHerb_Cover","IndigenousHerb_SR","Archeophyte_Cover","Archeophyte_SR","Neophyte_Cover","Neophyte_SR","NeophyteHerb_Cover","NeophyteHerb_SR","NeophyteHerb_Prop","Neophyte_Prop","Neophyte_RelCover","Indigenous_RelCover","Organism","Compartment","Decomposer_Abun","Decomposer_SR","Herbivores_Abun","Herbivores_SR","Pollinators_Abun","Pollinators_SR","Predators_Abun","Predators_SR","BG_Decomposer_Abun","BG_Decomposer_TR","BG_Herbivore_Abun","BG_Herbivore_TR","BG_Predator_Abun","BG_Predator_TR","Plants_insect.poll_SR","Plants_insect.poll_Cover","Herb_Neoph_insect.poll_SR","Herb_Neoph_insect.poll_Cover","Wildbees_oligolectic_SR","Wildbees_polylectic_SR"
"Nh_10",31,83.1,31,83.1,2.25793897952263,4,14,13.2,6,34.1,6,35.8,19,0,0,0,0,0,0,61,26,2,2,20.1,3,68.6,21,68.6,68.6,2.4,6,12.1,4,12.1,4,0.129032258064516,0.129032258064516,0.14560770156438,0.825511432009627,"Plant","Aboveground",12,3,214,12,12,9,674,71,11,2,1,2,0,0,25,49,2,11,1,4
"Nh_11",19,63,19,63,1.75810905485272,4,23.1,3.1,3,50,3,9.9,13,0,0,0,0,0,0,62.8,17,0.1,1,0.1,1,55.6,12,55.6,55.6,3.3,5,4.1,2,4.1,2,0.105263157894737,0.105263157894737,0.0650793650793651,0.882539682539683,"Plant","Aboveground",466,9,196,18,57,12,858,94,NA,NA,NA,NA,NA,NA,16,13,2,4.1,0,5
"Nh_201",19,55.8,19,55.8,1.63962754621076,5,50.3,0,0,35.1,4,20.7,15,0,0,0,0,0,0,53.7,16,2,2,0.1,1,52.4,13,52.4,52.4,3.1,3,0.3,3,0.3,3,0.157894736842105,0.157894736842105,0.00537634408602151,0.939068100358423,"Plant","Aboveground",15,3,37,10,14,11,91,34,14,3,0,0,9,1,14,18.7,3,0.3,1,8
"Nh_51",26,64.1,25,64,1.98084058929327,3,30,3.3,5,41.1,6,19.6,14,0,1,0.1,1,0,0,63.8,23,0.2,2,0,0,59.5,18,59.4,59.4,4.4,6,0.2,2,0.2,2,0.0769230769230769,0.0769230769230769,0.0031201248049922,0.928237129485179,"Plant","Aboveground",79,2,94,12,5,5,331,52,343,6,3,1,18,1,19,22.9,2,0.2,0,4
"Nl_03",39,96.4,36,95.2,2.72606139579515,5,13.1,6.3,6,53.1,7,35.8,24,0,3,1,1,0.1,1,94.2,35,1,1,0,0,84.8,25,84.8,84.8,7.3,7,4.2,6,3.1,4,0.102564102564103,0.153846153846154,0.0435684647302905,0.879668049792531,"Plant","Aboveground",163,6,178,18,84,11,572,91,NA,NA,NA,NA,NA,NA,31,43.2,3,2.1,1,3
"Nl_05",36,68.9,35,67.9,2.88412984391421,1,1,2.2,4,29.1,8,36.6,23,0,1,1,1,0,0,59.6,28,4.1,4,4.2,3,48.5,24,48.5,48.5,17.1,7,3.3,5,2.3,4,0.111111111111111,0.138888888888889,0.0478955007256894,0.703918722786647,"Plant","Aboveground",1,1,155,13,46,16,265,51,NA,NA,NA,NA,NA,NA,28,39.8,4,2.3,2,10
"Nl_09",29,50,28,49.9,2.36191599387844,4,41.2,1,1,35,9,13.9,17,0,1,4,1,0.2,2,40.6,20,4.1,4,1,1,43.6,20,43.6,43.6,3.2,4,3.1,4,3.1,4,0.137931034482759,0.137931034482759,0.062,0.872,"Plant","Aboveground",62,7,49,7,NA,NA,340,39,14,3,0,0,0,0,20,15,3,2.1,NA,NA
"Nl_14",32,69.3,32,69.3,2.10472410661298,3,10.2,31,2,27.1,8,11.2,21,0,0,1,1,0.1,1,36,25,1.2,3,31,2,34.5,19,34.5,34.5,2.4,6,32.4,7,32.4,7,0.21875,0.21875,0.467532467532468,0.497835497835498,"Plant","Aboveground",45,5,131,13,50,15,246,43,423,5,0,0,78,1,24,42.2,6,32.3,2,9
"Nl_16",30,73.9,30,73.9,2.45394513911727,2,31,3.1,4,50.2,9,20.6,17,0,0,0,0,0,0,73.8,29,0.1,1,0,0,65.5,19,65.5,65.5,4.3,7,4.1,4,4.1,4,0.133333333333333,0.133333333333333,0.0554803788903924,0.886332882273342,"Plant","Aboveground",117,5,202,16,53,19,848,88,NA,NA,NA,NA,NA,NA,22,23.8,3,2.1,0,12
"Nl_18",35,76.9,32,75.7,2.57082616387425,3,5,2.1,3,33.1,5,40.5,24,0,3,1.1,2,0,0,75.7,32,0,0,0,0,66.6,24,65.5,65.5,5.1,5,5.1,5,5.1,5,0.142857142857143,0.142857142857143,0.0663198959687906,0.866059817945383,"Plant","Aboveground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,31.8,5,5.1,NA,NA
"Nl_200",29,92.2,29,92.2,2.13832065663236,6,27.2,5.3,6,48,4,38.9,18,0,0,0.1,1,0,0,91,26,0,0,1.1,2,85.7,21,85.7,85.7,6.4,7,0.1,1,0.1,1,0.0344827586206897,0.0344827586206897,0.00108459869848156,0.929501084598699,"Plant","Aboveground",35,7,146,11,62,23,340,63,152,6,0,0,21,1,24,43.2,1,0.1,5,14
"Nl_205",26,90.3,25,89.3,2.24204432487657,5,12.1,6.1,4,23.1,5,60.1,16,0,1,1,1,0,0,73.3,21,1,1,15,3,76.2,16,76.2,76.2,7.1,6,7,4,6,3,0.115384615384615,0.153846153846154,0.0775193798449612,0.843853820598007,"Plant","Aboveground",1,1,45,4,46,19,115,31,NA,NA,NA,NA,NA,NA,21,67.2,2,5,0,13
"Nl_206",29,127,28,126.9,2.52087524509493,4,8.2,4,1,48,6,74.9,21,0,1,0.1,1,0,0,96.8,25,0,0,30.1,3,119.5,20,119.4,119.4,7.4,8,0.1,1,0.1,1,0.0344827586206897,0.0344827586206897,0.00078740157480315,0.940944881889764,"Plant","Aboveground",30,6,317,19,41,12,1064,77,144,7,0,0,48,1,22,77,1,0.1,0,8
"Nl_208",33,103.6,32,103.5,2.04346098046934,2,5,2.3,4,72.1,5,29.1,23,0,1,0,0,0,0,101.4,30,0,0,2.1,2,97.1,24,97.1,97.1,5.4,7,1,1,1,1,0.0303030303030303,0.0303030303030303,0.00965250965250965,0.937258687258687,"Plant","Aboveground",52,7,72,11,15,10,496,51,33,4,3,2,9,1,26,27.4,1,1,1,4
"Nl_211",28,133.8,27,133.7,2.32434976021851,3,5,8.2,4,67.1,6,58.4,17,0,1,0.1,1,0,0,119.5,23,0.1,1,14.1,3,119.7,20,119.6,119.6,7.1,5,7,3,7,3,0.107142857142857,0.107142857142857,0.0523168908819133,0.894618834080717,"Plant","Aboveground",7,1,337,6,20,14,122,35,NA,NA,NA,NA,NA,NA,23,66.8,2,5,1,10
"Nl_214",34,116.3,33,116.2,2.35216987579668,4,32.1,10.3,6,72.3,8,33.6,19,0,1,0,0,0,0,67.2,28,35,3,14,2,70.6,19,70.6,70.6,36.6,11,9,3,9,3,0.0882352941176471,0.0882352941176471,0.0773860705073087,0.607050730868444,"Plant","Aboveground",5,3,259,8,30,7,360,46,NA,NA,NA,NA,NA,NA,27,45,3,9,0,6
"Nl_220",15,61.5,13,60.4,1.63632719036292,6,15.1,0,0,28,5,32.4,8,0,2,1.1,2,0,0,50.3,11,0,0,10.1,2,51.4,13,50.3,50.3,0,0,10.1,2,10.1,2,0.133333333333333,0.133333333333333,0.164227642276423,0.835772357723577,"Plant","Aboveground",49,2,116,7,9,5,414,49,286,3,4,1,6,1,9,33.4,2,10.1,0,4
"Nl_55",49,112.3,48,112.2,2.99261076637426,3,52,8.2,6,56.1,9,47.9,33,0,1,0.1,1,0,0,107.1,44,0,0,5,3,85.7,29,85.6,85.6,18.4,12,8.1,7,8.1,7,0.142857142857143,0.142857142857143,0.0721282279608192,0.76313446126447,"Plant","Aboveground",203,12,418,18,47,14,459,67,NA,NA,NA,NA,NA,NA,40,58.2,5,5.1,1,9
"Nl_56",26,126.9,26,126.9,2.26115602791571,1,40,0.3,3,84,7,42.6,16,0,0,0,0,0,0,93.8,22,31,2,2.1,2,86.5,17,86.5,86.5,40.3,8,0.1,1,0.1,1,0.0384615384615385,0.0384615384615385,0.000788022064617809,0.681639085894405,"Plant","Aboveground",9,3,83,13,44,16,143,29,NA,NA,NA,NA,NA,NA,19,42.9,1,0.1,0,10
"Nm_02",39,112.6,36,112.3,2.49307529658151,6,32.1,3.1,4,84,8,25.2,24,1,2,0.3,3,0,0,108.3,33,1,1,3,2,94.1,26,94,94,7.3,9,11.2,4,11,2,0.0512820512820513,0.102564102564103,0.0994671403197158,0.835701598579041,"Plant","Aboveground",67,7,105,11,32,16,622,78,NA,NA,NA,NA,NA,NA,29,26.5,1,1,0,10
"Nm_03",9,66.3,9,66.3,0.47841022047164,4,50.2,0,0,62.1,4,4.2,5,0,0,0,0,0,0,66.3,9,0,0,0,0,65.3,8,65.3,65.3,1,1,0,0,0,0,0,0,0,0.984917043740573,"Plant","Aboveground",NA,NA,111,13,NA,NA,593,57,NA,NA,NA,NA,NA,NA,6,4.3,0,0,NA,NA
"Nm_05",28,94,28,94,1.91751933489776,1,70,9.1,6,65,4,19.9,18,0,0,0,0,0,0,89,26,0,0,5,2,84.6,18,84.6,84.6,4.2,6,5.2,4,5.2,4,0.142857142857143,0.142857142857143,0.0553191489361702,0.9,"Plant","Aboveground",508,15,145,17,20,8,739,91,NA,NA,NA,NA,NA,NA,23,28,3,4.2,1,3
"Nm_07",27,85,25,84.8,2.27700490856055,2,60.1,0.1,1,43.2,7,41.5,17,0,2,0.2,2,0,0,83.6,22,1.2,3,0,0,63.5,13,63.4,63.4,20.2,10,1.3,4,1.2,3,0.111111111111111,0.148148148148148,0.0152941176470588,0.747058823529412,"Plant","Aboveground",72,7,135,10,49,17,382,45,NA,NA,NA,NA,NA,NA,19,41.7,3,1.2,0,13
"Nm_09",25,79,23,78.8,2.28520075412722,2,60,4.3,7,36,5,38.5,11,0,2,0.2,2,0.1,1,76.7,21,0,0,2,1,71.9,20,71.7,71.7,3.1,4,4,1,4,1,0.04,0.04,0.0506329113924051,0.910126582278481,"Plant","Aboveground",3890,16,128,12,11,10,654,85,139,5,0,0,126,1,21,54.9,0,0,0,5
"Nm_14",19,71.6,19,71.6,1.65627238216129,5,5.3,3.1,4,45,3,23.5,12,0,0,0,0,0,0,71.6,19,0,0,0,0,69.2,13,69.2,69.2,2.3,5,0.1,1,0.1,1,0.0526315789473684,0.0526315789473684,0.00139664804469274,0.966480446927374,"Plant","Aboveground",86,6,144,10,0,0,92,29,106,5,0,0,27,1,16,26.6,1,0.1,NA,NA
"Nm_201",26,105.5,25,104.5,2.17591852018383,5,61,5,2,49,5,50.5,18,0,1,1,1,0,0,99.5,23,1,1,4,1,98.3,19,98.3,98.3,4,3,3.2,4,2.2,3,0.115384615384615,0.153846153846154,0.0303317535545024,0.93175355450237,"Plant","Aboveground",23,2,89,5,7,6,222,46,206,3,1,2,21,1,20,55.5,2,0.2,1,4
"Nm_202",33,88.4,31,88.2,1.95433997640727,5,8.1,6.1,4,51,6,31.1,21,0,2,0.2,2,0,0,83,27,0.1,1,5.1,3,79.8,23,79.7,79.7,2.4,6,6.2,4,6.1,3,0.0909090909090909,0.121212121212121,0.0701357466063348,0.902714932126697,"Plant","Aboveground",9,3,121,8,74,23,343,33,NA,NA,NA,NA,NA,NA,27,38.3,3,6.1,2,14
"Nm_50",42,91.9,40,91.7,2.74635497083223,5,5.1,4.2,3,33,7,54.5,31,0,2,0,0,0.1,1,86.4,35,0.2,2,5.1,3,76.9,27,76.8,76.8,6.6,9,8.3,5,8.3,5,0.119047619047619,0.119047619047619,0.0903155603917301,0.836779107725789,"Plant","Aboveground",NA,NA,162,20,NA,NA,573,65,NA,NA,NA,NA,NA,NA,36,60.9,5,8.3,NA,NA
"Oh_01",27,63.8,27,63.8,2.52371119573373,3,42,3,3,31.1,8,29.7,16,0,0,0,0,0,0,63.8,27,0,0,0,0,60.6,22,60.6,60.6,3.1,4,0.1,1,0.1,1,0.037037037037037,0.037037037037037,0.00156739811912226,0.949843260188088,"Plant","Aboveground",96,6,206,17,32,16,292,54,100,4,6,2,17,2,17,30.6,1,0.1,0,7
"Oh_02",28,115.2,28,115.2,2.18494114690891,0,0,13.1,5,82,6,20.1,17,0,0,0,0,10,1,95,24,0.1,1,10.1,2,77.9,19,77.9,77.9,3.2,5,34.1,4,34.1,4,0.142857142857143,0.142857142857143,0.296006944444444,0.676215277777778,"Plant","Aboveground",219,7,330,23,53,18,534,72,51,7,3,1,6,1,23,34.2,3,14.1,2,10
"Oh_03",31,113.6,31,113.6,2.01831157642817,4,1.3,3,3,66.1,5,44.5,22,0,0,2,1,0,0,108.6,27,2,2,1,1,105.2,20,105.2,105.2,7.2,8,1.2,3,1.2,3,0.0967741935483871,0.0967741935483871,0.0105633802816901,0.926056338028169,"Plant","Aboveground",15,4,168,16,52,6,437,59,335,5,6,1,21,1,25,37.5,3,1.2,0,3
"Oh_04",13,80.1,12,80,1.63946013871615,3,21,0,0,55,5,25,7,0,1,0.1,1,0,0,80,12,0,0,0,0,79.1,12,79,79,1,1,0,0,0,0,0,0,0,0.987515605493134,"Plant","Aboveground",30,4,211,16,54,16,540,91,130,6,1,1,40,2,7,25,0,0,0,10
"Oh_07",23,55.5,21,54.4,2.43768674419163,1,50,0.1,1,19.1,6,35.2,14,0,2,1.1,2,0,0,48.4,19,4,1,2,1,48.4,18,47.4,47.4,6,3,1.1,2,1,1,0.0434782608695652,0.0869565217391304,0.0198198198198198,0.872072072072072,"Plant","Aboveground",12,4,143,13,52,22,301,65,NA,NA,NA,NA,NA,NA,16,35.4,1,1,1,16
"Oh_10",38,53.5,36,51.4,2.78275850197225,3,62,1.2,3,28.1,7,22.1,26,0,2,0.2,2,2,1,46.3,33,4,1,1,1,52,32,49.9,49.9,1.4,5,0.1,1,0.1,1,0.0263157894736842,0.0263157894736842,0.00186915887850467,0.97196261682243,"Plant","Aboveground",87,8,109,14,17,12,823,93,NA,NA,NA,NA,NA,NA,28,21.4,1,0.1,1,5
"Oh_12",26,68.2,24,68,2.19333170433984,5,30.4,0,0,15.2,7,52.8,17,0,2,0.1,1,0,0,56,22,0,0,12,2,64.7,19,64.6,64.6,1.3,4,2.1,2,2.1,2,0.0769230769230769,0.0769230769230769,0.030791788856305,0.948680351906158,"Plant","Aboveground",18,4,184,18,56,17,663,73,NA,NA,NA,NA,NA,NA,18,33,1,2,1,11
"Ol_03",45,106.8,42,106.5,2.62526992786769,2,21,1.2,3,66,6,39.3,34,1,2,0.2,2,0.1,1,105.4,40,0,0,1.1,2,83.9,25,83.9,83.9,16.5,14,6.4,6,6.1,3,0.0666666666666667,0.133333333333333,0.0599250936329588,0.785580524344569,"Plant","Aboveground",12,5,189,17,41,19,766,90,NA,NA,NA,NA,NA,NA,38,38.8,2,2.1,1,12
"Ol_06",20,65.5,20,65.5,2.24318350810102,3,41,2,2,30,2,33.5,16,0,0,0,0,0.1,1,61.4,18,0,0,4,1,59.1,13,59.1,59.1,6.2,5,0.2,2,0.2,2,0.1,0.1,0.00305343511450382,0.902290076335878,"Plant","Aboveground",162,9,178,15,53,14,363,66,NA,NA,NA,NA,NA,NA,18,35.5,2,0.2,0,10
"Ol_11",34,56.5,32,55.4,2.05580048098226,6,16,0.2,2,36.4,9,18.8,21,0,2,1.1,2,0,0,55.2,30,0.1,1,0.1,1,51.9,25,50.9,50.9,2.4,6,2.2,3,2.1,2,0.0588235294117647,0.0882352941176471,0.0389380530973451,0.91858407079646,"Plant","Aboveground",18,3,140,20,29,18,396,80,NA,NA,NA,NA,NA,NA,23,18.1,2,2.1,1,14
"Ol_16",24,54.2,19,51.8,1.85698160988464,1,30,1.1,2,14.2,6,36.5,13,0,5,0.3,3,2.1,2,51.6,17,0,0,0.2,2,47.8,16,45.5,45.5,6.3,7,0.1,1,0,0,0,0.0416666666666667,0.0018450184501845,0.881918819188192,"Plant","Aboveground",23,5,222,15,58,15,566,70,NA,NA,NA,NA,NA,NA,16,39.8,0,0,0,11
"Ol_50",36,136,35,135.9,2.55958958937179,4,10,4,3,39,8,92.9,24,0,1,0.1,1,0,0,132.8,32,1,1,2.1,2,113.3,22,113.3,113.3,11.4,9,11.3,5,11.2,4,0.111111111111111,0.138888888888889,0.0830882352941177,0.833088235294118,"Plant","Aboveground",128,9,119,16,75,20,353,71,NA,NA,NA,NA,NA,NA,27,95,3,1.2,1,10
"Ol_55",48,99.9,47,99.8,2.89921922739186,3,5.1,3.5,8,42,8,54.3,31,0,1,0,0,0,0,96.6,43,0.1,1,3,2,91.2,37,91.2,91.2,8.4,8,0.1,1,0.1,1,0.0208333333333333,0.0208333333333333,0.001001001001001,0.912912912912913,"Plant","Aboveground",14,6,248,22,42,13,943,84,33,5,3,1,642,1,37,38.8,2,0.2,0,8
"Om_02",41,98.3,40,98.2,2.63498056296869,3,12,0.1,1,10,9,88.1,30,0,1,0.1,1,0.1,1,98.1,39,0,0,0,0,94.1,35,94,94,4,4,0.2,2,0.2,2,0.0487804878048781,0.0487804878048781,0.00203458799593082,0.957273652085453,"Plant","Aboveground",143,7,158,19,45,19,617,78,NA,NA,NA,NA,NA,NA,31,79.2,2,0.2,0,12
"Om_05",31,76.2,30,76.1,2.61564566641866,2,21,0.2,2,34.1,7,41.8,20,0,1,0.1,1,0,0,75.9,28,0,0,0.1,1,48.8,21,48.8,48.8,17.2,7,10.1,2,10,1,0.032258064516129,0.0645161290322581,0.13254593175853,0.640419947506562,"Plant","Aboveground",22,4,253,21,74,17,950,72,173,5,3,2,21,1,24,42.1,0,0,1,10
"Om_06",19,50.7,19,50.7,1.67174335643604,2,11,0.2,2,34,4,16.5,13,0,0,0,0,0.1,1,48.6,16,2,2,0,0,46.5,14,46.5,46.5,4.1,4,0.1,1,0.1,1,0.0526315789473684,0.0526315789473684,0.0019723865877712,0.917159763313609,"Plant","Aboveground",255,8,230,19,82,18,693,80,NA,NA,NA,NA,NA,NA,15,16.7,1,0.1,2,10
"Om_08",30,70.1,29,70,2.52220313089932,3,22,0.1,1,29.1,5,40.8,23,0,1,0.1,1,0,0,68,27,2,2,0,0,60,25,59.9,59.9,10.1,5,0,0,0,0,0,0,0,0.855920114122682,"Plant","Aboveground",22,8,214,18,54,10,506,68,NA,NA,NA,NA,NA,NA,24,31,0,0,1,5
"Om_15",23,94.7,23,94.7,2.1517184919288,2,10.1,1.1,2,61.1,7,32.5,14,0,0,0,0,2,1,92.7,22,0,0,0,0,93.5,20,93.5,93.5,1.2,3,0,0,0,0,0,0,0,0.987328405491024,"Plant","Aboveground",12,5,207,17,50,16,613,61,NA,NA,NA,NA,NA,NA,16,33.6,0,0,2,10
